Game,Link,Week,Johannes,Sunniva,Verdict
Keep,https://boardgamegeek.com/boardgame/185276/keep,1,CULL,CULL,CULL
Conspiracy: Abyss Universe,https://boardgamegeek.com/boardgame/276042/conspiracy-abyss-universe,1,KEEP,KEEP,KEEP
Stronghold: 2nd Edition,https://boardgamegeek.com/boardgame/179460/stronghold-2nd-edition,1,CULL,CULL,CULL
Goa,https://boardgamegeek.com/boardgame/9216/goa,1,KEEP,KEEP,KEEP
L.A.M.A.,https://boardgamegeek.com/boardgame/266083/llm,1,KEEP,KEEP,KEEP
Mysterium Park,https://boardgamegeek.com/boardgame/301767/mysterium-park,20,KEEP,KEEP,KEEP
Pictomania,https://boardgamegeek.com/boardgame/98229/pictomania,20,KEEP,KEEP,KEEP
Villagers,https://boardgamegeek.com/boardgame/241724/villagers,20,KEEP,KEEP,KEEP
Gùgōng,https://boardgamegeek.com/boardgame/250458/gugng,20,CULL,CULL,CULL
"Hey, That's My Fish!",https://boardgamegeek.com/boardgame/8203/hey-s-my-fish,20,KEEP,KEEP,KEEP
A Gentle Rain,https://boardgamegeek.com/boardgame/334011/gentle-rain,20,CULL,CULL,CULL
Meadow,https://boardgamegeek.com/boardgame/314491/meadow,20,CULL,CULL,CULL
Stone Age,https://boardgamegeek.com/boardgame/34635/stone-age,20,KEEP,CULL,KEEP
