Artist,# Keep,# Cull,Total Games by This Artist,Games
Markus Schmuck,1,0,1,Las Vegas (KEEP)
Mia Steingräber,1,0,1,Las Vegas (KEEP)
Mathieu Leyssenne,1,0,1,Loony Quest (KEEP)
illuVision,1,0,1,Pyramid of Pengqueen (KEEP)
Marco Armbruster,1,0,1,The Crew: The Quest for Planet Nine (KEEP)
Sophie Rekasowski,1,0,1,Aqualin (KEEP)
Jacoby O'Connor,1,0,1,Raccoon Tycoon (KEEP)
Annie Stegg,1,0,1,Raccoon Tycoon (KEEP)
Thierry Masson,1,0,1,Blood Rage (KEEP)
Adrian Smith,1,0,1,Blood Rage (KEEP)
Oliver Schlemmer,1,0,1,Escape: The Curse of the Temple – Big Box (KEEP)
Jeanne Torres,1,0,1,Flip Ships (KEEP)
Katie Khau,1,0,1,Mental Blocks (KEEP)
Alexander Jung,1,0,1,Strasbourg (KEEP)
Jo Hartwig,1,0,1,Trajan (KEEP)
Marina Fahrenbach,1,0,1,Navegador (KEEP)
Mac Gerdts,1,0,1,Navegador (KEEP)
Jason Coates,1,0,1,Glen More II: Chronicles (KEEP)
Hendrik Noack,1,0,1,Glen More II: Chronicles (KEEP)
Janos Orban,1,0,1,Embarcadero (KEEP)
Dragolisco,1,0,1,The Isle of Cats (KEEP)
Frank West,1,0,1,The Isle of Cats (KEEP)
Ben Carre,1,0,1,Libertalia (KEEP)
Aline Kirrmann,1,0,1,Maracaibo (KEEP)
Bluguy,1,0,1,The Lord of the Rings (KEEP)
John Howe,1,0,1,The Lord of the Rings (KEEP)
Don Perrin,1,0,1,Memoir '44 (KEEP)
Claude Rica,1,0,1,Memoir '44 (KEEP)
Jason Boles,1,0,1,Suburbia: Collector's Edition (KEEP)
Stephanie Gustafsson,1,0,1,Suburbia: Collector's Edition (KEEP)
Brett Stebbins,1,0,1,Suburbia: Collector's Edition (KEEP)
Taylor Bogle,1,0,1,Suburbia: Collector's Edition (KEEP)
Ollin Timm,1,0,1,Suburbia: Collector's Edition (KEEP)
Óscar Aguado,1,0,1,For Sale (KEEP)
Abbas Amirabadi,1,0,1,For Sale (KEEP)
Mahmoud Arasteh Nasab,1,0,1,For Sale (KEEP)
Mohammad Amir Garoosian,1,0,1,For Sale (KEEP)
Emilien Rotival,1,0,1,For Sale (KEEP)
Catell Ruz,1,0,1,For Sale (KEEP)
Uros Vuckovic,1,0,1,For Sale (KEEP)
Klaus Wilinski,1,0,1,For Sale (KEEP)
Sören Meding,1,0,1,Pulsar 2849 (KEEP)
Walter Pepperle,1,0,1,Mexica (KEEP)
Antonio De Luca,1,0,1,Barrage (KEEP)
Justin Schultz,1,0,1,Feudum (KEEP)
Kali Fitzgerald,1,0,1,Love Letter (KEEP)
Andrew Hepworth,1,0,1,Love Letter (KEEP)
Jeff Himmelman,1,0,1,Love Letter (KEEP)
John Kovalic,1,0,1,Love Letter (KEEP)
Nina Matsumoto,1,0,1,Love Letter (KEEP)
Robb Miller,1,0,1,Love Letter (KEEP)
Ken Niimura,1,0,1,Love Letter (KEEP)
Noboru Sugiura,1,0,1,Love Letter (KEEP)
Yating Sun,1,0,1,Love Letter (KEEP)
Isaac Fryxelius,1,0,1,Terraforming Mars (KEEP)
Ana Maria Martinez Jaramillo,1,0,1,Wingspan (KEEP)
Natalia Rojas,1,0,1,Wingspan (KEEP)
Cyril Bouquet,1,0,1,Kingdomino (KEEP)
Saeed Jalabi,1,0,1,Project: ELITE (KEEP)
Stef Kopinski,1,0,1,Project: ELITE (KEEP)
Edgar Skomorowski,1,0,1,Project: ELITE (KEEP)
Benoit Billion,1,0,1,The King Is Dead (KEEP)
David Kegg,1,0,1,Sorcerer City (KEEP)
Damien Mammoliti,1,0,1,Sorcerer City (KEEP)
Ralf Berszuck,1,0,1,Mystic Vale (KEEP)
Storn Cook,1,0,1,Mystic Vale (KEEP)
Andrew Gaia,1,0,1,Mystic Vale (KEEP)
Katherine Guevara,1,0,1,Mystic Vale (KEEP)
